source_path,source_type,display_path,display_type,title,layer,generated_by
action_queue.html,html,action_queue.html,action_queue,行动队列,Presentation,make learning-dashboard
vault/13_Knowledge_Graph/action_queue.json,json,action_queue.html,action_queue_data,Action queue,Knowledge,make learning-dashboard
archive_policy.html,html,archive_policy.html,archive_policy,自动归档策略,Presentation,make learning-dashboard
vault/13_Knowledge_Graph/archive_policy.json,json,archive_policy.html,archive_policy_data,Archive policy,Knowledge,make learning-dashboard
vault/02_Concepts/AARRR 漏斗模型.md,markdown,knowledge_cards/views/concept-aarrr-bf76ae6c.html,concept_card_view,AARRR 漏斗模型,Knowledge,make learning-dashboard
vault/02_Concepts/Hook Model 上瘾模型.md,markdown,knowledge_cards/views/concept-hook-model-878dcbb7.html,concept_card_view,Hook Model 上瘾模型,Knowledge,make learning-dashboard
vault/02_Concepts/SICAS模型.md,markdown,knowledge_cards/views/concept-sicas-e14df8c7.html,concept_card_view,SICAS模型,Knowledge,make learning-dashboard
vault/02_Concepts/互动营销.md,markdown,knowledge_cards/views/concept-452dce22.html,concept_card_view,互动营销,Knowledge,make learning-dashboard
vault/02_Concepts/平台适配.md,markdown,knowledge_cards/views/concept-53b320d5.html,concept_card_view,平台适配,Knowledge,make learning-dashboard
vault/02_Concepts/情感营销.md,markdown,knowledge_cards/views/concept-d7b1f9e6.html,concept_card_view,情感营销,Knowledge,make learning-dashboard
vault/02_Concepts/数字阅读推广.md,markdown,knowledge_cards/views/concept-b0f48f34.html,concept_card_view,数字阅读推广,Knowledge,make learning-dashboard
vault/02_Concepts/方向链.md,markdown,knowledge_cards/views/concept-e068f0fc.html,concept_card_view,方向链,Knowledge,make learning-dashboard
vault/02_Concepts/服务价值.md,markdown,knowledge_cards/views/concept-e98c8c55.html,concept_card_view,服务价值,Knowledge,make learning-dashboard
vault/02_Concepts/沉浸式内容.md,markdown,knowledge_cards/views/concept-7f8a8bb3.html,concept_card_view,沉浸式内容,Knowledge,make learning-dashboard
vault/02_Concepts/渠道营销.md,markdown,knowledge_cards/views/concept-401f5cfe.html,concept_card_view,渠道营销,Knowledge,make learning-dashboard
vault/02_Concepts/用户感知价值.md,markdown,knowledge_cards/views/concept-824dc24b.html,concept_card_view,用户感知价值,Knowledge,make learning-dashboard
vault/02_Concepts/软营销.md,markdown,knowledge_cards/views/concept-841db0d5.html,concept_card_view,软营销,Knowledge,make learning-dashboard
vault/02_Concepts/馆型差异.md,markdown,knowledge_cards/views/concept-1c7d1e51.html,concept_card_view,馆型差异,Knowledge,make learning-dashboard
study_dashboard.html,html,study_dashboard.html,dashboard,ResearchWorkflow 学习仪表盘,Presentation,make learning-dashboard
library/pdfs/library_short_video,directory,paper_reading/views/directories/library-short-video-8b015fe8.html,directory_view,library_short_video,Source,make learning-dashboard
library/pdfs/library_short_video/converted,directory,paper_reading/views/directories/converted-67e02670.html,directory_view,converted,Source,make learning-dashboard
library/pdfs/library_short_video/incoming,directory,paper_reading/views/directories/incoming-468da0bf.html,directory_view,incoming,Source,make learning-dashboard
library/pdfs/library_short_video/incoming/2026-06-30,directory,paper_reading/views/directories/2026-06-30-d7c885ed.html,directory_view,2026-06-30,Source,make learning-dashboard
projects/library_short_video/literature/caj_conversion,directory,paper_reading/views/directories/caj-conversion-db8913e9.html,directory_view,caj_conversion,Knowledge,make learning-dashboard
projects/library_short_video/literature/caj_conversion/cnki_2020_64b4f881c9_preview,directory,paper_reading/views/directories/cnki-2020-64b4f881c9-preview-0fc2d053.html,directory_view,cnki_2020_64b4f881c9_preview,Knowledge,make learning-dashboard
projects/library_short_video/literature/caj_conversion/cnki_2021_d35f8e895a_preview,directory,paper_reading/views/directories/cnki-2021-d35f8e895a-preview-e9db0bd8.html,directory_view,cnki_2021_d35f8e895a_preview,Knowledge,make learning-dashboard
projects/library_short_video/literature/caj_conversion/cnki_2021_dfab60236e_preview,directory,paper_reading/views/directories/cnki-2021-dfab60236e-preview-add63b94.html,directory_view,cnki_2021_dfab60236e_preview,Knowledge,make learning-dashboard
projects/library_short_video/literature/caj_conversion/cnki_2023_34348faa1e_preview,directory,paper_reading/views/directories/cnki-2023-34348faa1e-preview-f5494d52.html,directory_view,cnki_2023_34348faa1e_preview,Knowledge,make learning-dashboard
projects/library_short_video/literature/context_packs,directory,paper_reading/views/directories/context-packs-4b4dd996.html,directory_view,context_packs,Knowledge,make learning-dashboard
vault/15_CNKI_Frontier/paper_briefs,directory,paper_reading/views/directories/paper-briefs-6a749cd8.html,directory_view,paper_briefs,Knowledge,make learning-dashboard
vault/13_Knowledge_Graph/artifact_manifest.csv,csv,knowledge_graph/index.html,graph_source_data,Artifact manifest,Knowledge,make obsidian-graph && make learning-dashboard
