path,bytes,modified_at,sha256
00_project_dashboard.md,1462,2026-06-20T09:48:40,100be1160ad2a0c0a2471a6f2fe7c5723b13739ad4db62e496e9ff8381276c1e
01_research_question.md,2818,2026-06-20T15:14:54,e00a7efc577a9f91bfe73c15a90fa005b1d8a5f5f6aaecd0ef36bd3c331dd368
02_methodology.md,262,2026-06-20T09:47:05,304d9aa5cd8518bae8933b0066e74f2a10e94067c33843f43d2735d6b73225b2
03_literature_synthesis.md,7114,2026-06-20T15:33:15,311eb0e6955eb75c8b4620a947d367471658ebb89913100131065a311cc6f465
04_experiment_plan.md,340,2026-06-20T09:47:05,81e40d021d0edb45259b602bd987ed8e014757964bf9e65bb28fabb8e8eebdfb
05_hypothesis_registry.md,290,2026-06-20T09:47:05,d9214dba9929dfdc215bb72f55d49dc4f6b1771af527bd0de7ba6544a2bd2d77
06_result_interpretation.md,530,2026-06-20T09:47:05,cb9a0b2a73b5f07e997854d8c1a5d653b44613e8b70f68b99798b87463150161
07_claim_evidence_map.md,378,2026-06-20T09:47:05,83e06188bc80dedad8a153387ab0b90e909b9ff74d405853de058f424c7f99d0
08_publication_readiness.md,2599,2026-06-20T09:47:05,f0572dea33ba966da87f55a32c583b9d9317ef39c08a243bceba097c44ad6c3f
README.md,2089,2026-06-20T09:47:05,6f7b0be858f0565efeb5592a6ca069dffae7f461b7aa001d6935168f2efb196b
analysis/R/analysis.R,546,2026-06-20T09:47:05,84ba639a349337a08a214117fdf515a11bd59633fd0f9b270f8b2823ca5a4bdd
analysis/matlab/simulation.m,295,2026-06-20T09:47:05,4b19ba41493567f51bb85cadccb1fadc4a840a2decb42d52fddf6b003c6f1727
analysis/python/analysis.py,362,2026-06-20T09:47:05,aeb79e95c1a077a3e62906a1058530dd01e9e2a27e01bbe0427a902ab7d1f1f7
data/codebook.md,510,2026-06-20T09:47:05,280ddc6cea3ba7c7a4e4ccbaf3fc95ff299b991225abbb7edfca60070b3f1e8d
