Id,Label,Type
Inbox,收件箱,00_Inbox
cnki_2021_3771e58987,公共图书馆和高校图书馆短视频营销比较研究,15_CNKI_Frontier
library_short_video,图书馆短视频相关研究,project
AARRR 漏斗模型,AARRR 漏斗模型,concept
平台适配,平台适配,concept
馆型差异,馆型差异,concept
网络调查法,网络调查法,method
内容分析法,内容分析法,method
图书馆短视频AARRR服务价值指标,图书馆短视频AARRR服务价值指标,linked
馆型平台适配复测,馆型平台适配复测,linked
SICAS-AARRR整合框架,SICAS-AARRR整合框架,linked
SICAS模型,SICAS模型,concept
Hook Model 上瘾模型,Hook Model 上瘾模型,concept
ELM 精细加工可能性模型,ELM 精细加工可能性模型,linked
cnki_2023_34348faa1e,基于SICAS模型的公共图书馆短视频营销策略研究,15_CNKI_Frontier
cnki_2021_5530e86157,基于短视频营销的公共图书馆数字阅读推广策略研究,15_CNKI_Frontier
服务价值,服务价值,concept
描述性账号调查,描述性账号调查,method
平台互动指标,平台互动指标,linked
2026-06-30-aarrr-paper,AARRR 比较论文精读,learning
2026-06-30-evening-close,AARRR 精读闭环、归档与仪表盘刷新,learning
数字阅读推广,数字阅读推广,concept
情感营销,情感营销,concept
渠道营销,渠道营销,concept
互动营销,互动营销,concept
用户感知价值,用户感知价值,concept
沉浸式内容,沉浸式内容,concept
头部账号实践提炼,头部账号实践提炼,method
情感-渠道-互动-服务转化模型,情感-渠道-互动-服务转化模型,linked
平台互动-服务触达-阅读转化,平台互动-服务触达-阅读转化,concept
头部账号与普通馆迁移边界,头部账号与普通馆迁移边界,linked
cnki_2020_2a150c6df8,图书馆热门短视频内容规律探究——基于抖音平台的实证研究,15_CNKI_Frontier
cnki_2021_7556aafa99,公共图书馆“抖音”短视频服务现状及发展策略研究,15_CNKI_Frontier
2026-07-01-digital-reading-promotion-paper,数字阅读推广服务转化论文精读,learning
2026-07-01-evening-close,数字阅读推广精读闭环、归档与仪表盘刷新,learning
cnki_2021_645f03f388,图书馆短视频账号传播力研究——以省级公共图书馆为例,literature
熵权法,熵权法,method
图书馆短视频内容质量评价,图书馆短视频内容质量评价,method
爆款指数,爆款指数,method
传播力评价,传播力评价,concept
DCI传播力指数,DCI传播力指数,method
cnki_2021_d35f8e895a,图书馆短视频传播及互动效果影响因素模型及实证分析——基于“上瘾模型”的探索,15_CNKI_Frontier
传播力评价与服务价值错位,传播力评价与服务价值错位,linked
省级公共图书馆账号复测,省级公共图书馆账号复测,linked
平台传播-服务结果复合指标,平台传播-服务结果复合指标,linked
2026-07-02-propagation-power-evaluation-paper,2026-07-02 传播力评价论文精读,learning
软营销,软营销,concept
精神激励,精神激励,linked
图书馆短视频服务价值框架,图书馆短视频服务价值框架,linked
SICAS-服务转化路径,SICAS-服务转化路径,linked
