file_path,file_name,matched_citekey,matched_title,read_status,has_pdf,has_reader,project_gap,evidence_value,duplicate_group_size,next_action
library/pdfs/library_short_video/incoming/公共图书馆短视频公众平台建设现状分析_曾一昕.pdf,公共图书馆短视频公众平台建设现状分析_曾一昕.pdf,cnki_2020_5ca581e54f,公共图书馆短视频公众平台建设现状分析,metadata-only,no,no,服务价值指标,high,1,intake_to_stable_pdf
library/pdfs/library_short_video/incoming/我国省级公共图书馆短视频服务运营探析——基于抖音App的数据分析_隋鑫.pdf,我国省级公共图书馆短视频服务运营探析——基于抖音App的数据分析_隋鑫.pdf,cnki_2021_2ba9195a8a,我国省级公共图书馆短视频服务运营探析——基于抖音App的数据分析,metadata-only,no,no,服务价值指标,high,1,intake_to_stable_pdf
library/pdfs/library_short_video/incoming/我国省级公共图书馆抖音短视频运营现状与发展策略研究_胡海燕.pdf,我国省级公共图书馆抖音短视频运营现状与发展策略研究_胡海燕.pdf,cnki_2022_dea116d7f1,我国省级公共图书馆抖音短视频运营现状与发展策略研究,metadata-only,no,no,待判断,medium,1,intake_to_stable_pdf
library/pdfs/library_short_video/incoming/公共图书馆短视频传播效果影响因素组态路径研究——基于120个案例的模糊集定性比较分析_曾群.pdf,公共图书馆短视频传播效果影响因素组态路径研究——基于120个案例的模糊集定性比较分析_曾群.pdf,cnki_2022_e0a8336b38,公共图书馆短视频传播效果影响因素组态路径研究——基于120个案例的模糊集定性比较分析,metadata-only,no,no,传播力评价；机制解释,medium-high,1,intake_to_stable_pdf
library/pdfs/library_short_video/incoming/高校图书馆B站视频传播效果影响因素实证研究_丁大尉.pdf,高校图书馆B站视频传播效果影响因素实证研究_丁大尉.pdf,cnki_2023_82f69af538,高校图书馆B站视频传播效果影响因素实证研究,metadata-only,no,no,传播力评价；机制解释,medium-high,1,intake_to_stable_pdf
library/pdfs/library_short_video/incoming/公共图书馆阅读服务类抖音短视频传播效果的影响因素研究_王磊.pdf,公共图书馆阅读服务类抖音短视频传播效果的影响因素研究_王磊.pdf,,,unmatched,no,no,传播力评价；服务价值指标；机制解释,medium,1,add_to_matrix_or_mark_external
library/pdfs/library_short_video/incoming/基于媒介传播效果框架的图书馆短视频评论文本分析_陈信.pdf,基于媒介传播效果框架的图书馆短视频评论文本分析_陈信.pdf,,,unmatched,no,no,传播力评价；机制解释,medium,1,add_to_matrix_or_mark_external
library/pdfs/library_short_video/incoming/多模态视域下图书馆阅读推广短视频用户体验影响机制研究_程秀峰.pdf,多模态视域下图书馆阅读推广短视频用户体验影响机制研究_程秀峰.pdf,,,unmatched,no,no,服务价值指标；机制解释,medium,1,add_to_matrix_or_mark_external
library/pdfs/library_short_video/incoming/公共图书馆“抖音”短视频服务现状及发展策略研究_孙雨.pdf,公共图书馆“抖音”短视频服务现状及发展策略研究_孙雨.pdf,cnki_2021_7556aafa99,公共图书馆“抖音”短视频服务现状及发展策略研究,skimmed,yes,yes,服务价值指标,high,1,already_skimmed_keep_as_backup
library/pdfs/library_short_video/incoming/抖音阅读推广短视频传播效果影响因素研究_杨达森 (1).pdf,抖音阅读推广短视频传播效果影响因素研究_杨达森 (1).pdf,cnki_2021_dfab60236e,抖音阅读推广短视频传播效果影响因素研究,skimmed,yes,yes,传播力评价；服务价值指标；机制解释,high,2,duplicate_keep_one_then_archive
