claim_id,claim_text,citekey,evidence_type,source_block_id,page,locator_status,read_status,evidence_usage_status,strength,risk,used_in_manuscript,source_path
C001,图书馆短视频研究可从“平台运营策略”推进到“内容/设计因素与互动效果的实证分析”。,cnki_2021_d35f8e895a,literature,cnki_2021_d35f8e895a:B0006,,page_pending,skimmed,candidate,candidate,needs_human_validation;page_locator_pending;page_missing,false,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/paper.md
C001,图书馆短视频研究可从“平台运营策略”推进到“内容/设计因素与互动效果的实证分析”。,cnki_2021_d35f8e895a,literature,cnki_2021_d35f8e895a:B0009,,page_pending,skimmed,candidate,candidate,needs_human_validation;page_locator_pending;page_missing,false,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/paper.md
C001,图书馆短视频研究可从“平台运营策略”推进到“内容/设计因素与互动效果的实证分析”。,cnki_2021_d35f8e895a,literature,cnki_2021_d35f8e895a:B0010,,page_pending,skimmed,candidate,candidate,needs_human_validation;page_locator_pending;page_missing,false,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/paper.md
C001,图书馆短视频研究可从“平台运营策略”推进到“内容/设计因素与互动效果的实证分析”。,cnki_2021_d35f8e895a,literature,cnki_2021_d35f8e895a:B0011,,page_pending,skimmed,candidate,candidate,needs_human_validation;page_locator_pending;page_missing,false,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/paper.md
C002,阅读推广短视频影响因素研究可以走“大样本社会化账号 + 文本挖掘/图像识别 + 回归”的方法路线。,cnki_2021_dfab60236e,literature,cnki_2021_dfab60236e:B0004,,page_pending,skimmed,candidate,candidate,needs_human_validation;page_locator_pending;page_missing,false,projects/library_short_video/literature/readers/cnki_2021_dfab60236e/paper.md
C002,阅读推广短视频影响因素研究可以走“大样本社会化账号 + 文本挖掘/图像识别 + 回归”的方法路线。,cnki_2021_dfab60236e,literature,cnki_2021_dfab60236e:B0008,,page_pending,skimmed,candidate,candidate,needs_human_validation;page_locator_pending;page_missing,false,projects/library_short_video/literature/readers/cnki_2021_dfab60236e/paper.md
C002,阅读推广短视频影响因素研究可以走“大样本社会化账号 + 文本挖掘/图像识别 + 回归”的方法路线。,cnki_2021_dfab60236e,literature,cnki_2021_dfab60236e:B0010,,page_pending,skimmed,candidate,candidate,needs_human_validation;page_locator_pending;page_missing,false,projects/library_short_video/literature/readers/cnki_2021_dfab60236e/paper.md
C002,阅读推广短视频影响因素研究可以走“大样本社会化账号 + 文本挖掘/图像识别 + 回归”的方法路线。,cnki_2021_dfab60236e,literature,cnki_2021_dfab60236e:B0013,,page_pending,skimmed,candidate,candidate,needs_human_validation;page_locator_pending;page_missing,false,projects/library_short_video/literature/readers/cnki_2021_dfab60236e/paper.md
C003,在该社会化账号样本中，内容可读性、内容网络热词、标题可读性、标题互文性、15-60 秒时长与传播效果正相关；标题长度、标题标签、企业认证与传播效果负相关。,cnki_2021_dfab60236e,literature,cnki_2021_dfab60236e:B0013,,page_pending,skimmed,candidate,candidate,needs_human_validation;page_locator_pending;page_missing,false,projects/library_short_video/literature/readers/cnki_2021_dfab60236e/paper.md
C003,在该社会化账号样本中，内容可读性、内容网络热词、标题可读性、标题互文性、15-60 秒时长与传播效果正相关；标题长度、标题标签、企业认证与传播效果负相关。,cnki_2021_dfab60236e,literature,cnki_2021_dfab60236e:B0014,,page_pending,skimmed,candidate,candidate,needs_human_validation;page_locator_pending;page_missing,false,projects/library_short_video/literature/readers/cnki_2021_dfab60236e/paper.md
C003,在该社会化账号样本中，内容可读性、内容网络热词、标题可读性、标题互文性、15-60 秒时长与传播效果正相关；标题长度、标题标签、企业认证与传播效果负相关。,cnki_2021_dfab60236e,literature,cnki_2021_dfab60236e:B0015,,page_pending,skimmed,candidate,candidate,needs_human_validation;page_locator_pending;page_missing,false,projects/library_short_video/literature/readers/cnki_2021_dfab60236e/paper.md
C003,在该社会化账号样本中，内容可读性、内容网络热词、标题可读性、标题互文性、15-60 秒时长与传播效果正相关；标题长度、标题标签、企业认证与传播效果负相关。,cnki_2021_dfab60236e,literature,cnki_2021_dfab60236e:B0016,,page_pending,skimmed,candidate,candidate,needs_human_validation;page_locator_pending;page_missing,false,projects/library_short_video/literature/readers/cnki_2021_dfab60236e/paper.md
C004,在该研究中，标题句型、背景音乐情感类型、制作类别、内容主题、信息类型与传播互动指数存在显著差异。,cnki_2021_d35f8e895a,literature,cnki_2021_d35f8e895a:B0011,,page_pending,skimmed,candidate,candidate,needs_human_validation;page_locator_pending;page_missing,false,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/paper.md
C004,在该研究中，标题句型、背景音乐情感类型、制作类别、内容主题、信息类型与传播互动指数存在显著差异。,cnki_2021_d35f8e895a,literature,cnki_2021_d35f8e895a:B0012,,page_pending,skimmed,candidate,candidate,needs_human_validation;page_locator_pending;page_missing,false,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/paper.md
C004,在该研究中，标题句型、背景音乐情感类型、制作类别、内容主题、信息类型与传播互动指数存在显著差异。,cnki_2021_d35f8e895a,literature,cnki_2021_d35f8e895a:B0013,,page_pending,skimmed,candidate,candidate,needs_human_validation;page_locator_pending;page_missing,false,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/paper.md
C005,标题长度、视频时长、与邻近视频的相关或连续性在该研究中未表现出显著影响。,cnki_2021_d35f8e895a,literature,cnki_2021_d35f8e895a:B0012,,page_pending,skimmed,candidate,candidate,needs_human_validation;page_locator_pending;page_missing,false,projects/library_short_video/literature/readers/cnki_2021_d35f8e895a/paper.md
